??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:00:04:800,4.750,0.495,1.9,1.9,null
00:00:04:810,4.750,0.495,1.9,1.9,null
00:00:04:820,4.750,0.495,1.9,1.9,null
00:00:04:830,4.750,0.495,1.9,1.9,null
00:00:04:840,4.750,0.495,1.9,1.9,null
00:00:04:850,4.750,0.495,1.9,1.9,null
00:00:04:860,4.750,0.495,1.9,1.9,null
00:00:04:870,4.750,0.495,1.9,1.9,null
00:00:04:880,4.750,0.495,1.9,1.9,null
00:00:04:890,4.750,0.495,1.9,1.9,null
00:00:04:900,4.750,0.495,1.9,1.9,null
00:00:04:910,4.750,0.495,1.9,1.9,null
00:00:04:920,4.750,0.495,1.9,1.9,null
00:00:04:930,4.750,0.495,1.9,1.9,null
00:00:04:940,4.750,0.495,1.9,1.9,null
00:00:04:950,4.750,0.495,1.9,1.9,null
00:00:04:960,4.750,0.495,1.9,1.9,null
00:00:04:970,4.750,0.495,1.9,1.9,null
00:00:04:980,4.750,0.495,1.9,1.9,null
00:00:04:990,4.750,0.495,1.9,1.9,null
00:00:05:000,4.750,0.495,1.9,1.9,null
00:00:05:010,4.750,0.495,1.9,1.9,null
00:00:05:020,4.750,0.495,1.9,1.9,null
00:00:05:030,4.750,0.495,1.9,1.9,null
00:00:05:040,4.750,0.495,1.9,1.9,null
00:00:05:050,4.750,0.495,1.9,1.9,null
00:00:05:060,4.750,0.495,1.9,1.9,null
00:00:05:070,4.750,0.495,1.9,1.9,null
00:00:05:080,4.750,0.495,1.9,1.9,null
00:00:05:090,4.750,0.495,1.9,1.9,null
00:00:05:100,4.750,0.495,1.9,1.9,null
00:00:05:110,4.750,0.495,1.9,1.9,null
00:00:05:120,4.750,0.495,1.9,1.9,null
00:00:05:130,4.750,0.495,1.9,1.9,null
00:00:05:140,4.750,0.495,1.9,1.9,null
00:00:05:150,4.750,0.495,1.9,1.9,null
00:00:05:160,4.750,0.495,1.9,1.9,null
00:00:05:170,4.750,0.495,1.9,1.9,null
00:00:05:180,4.750,0.495,1.9,1.9,null
00:00:05:190,4.750,0.495,1.9,1.9,null
00:00:05:200,4.750,0.495,1.9,1.9,null
00:00:05:210,4.750,0.495,1.9,1.9,null
00:00:05:220,4.750,0.495,1.9,1.9,null
00:00:05:230,4.750,0.495,1.9,1.9,null
00:00:05:240,4.750,0.495,1.9,1.9,null
00:00:05:250,4.750,0.495,1.9,1.9,null
00:00:05:260,4.750,0.495,1.9,1.9,null
00:00:05:270,4.750,0.495,1.9,1.9,null
00:00:05:280,4.750,0.495,1.9,1.9,null
00:00:05:290,4.750,0.495,1.9,1.9,null
00:00:05:300,4.750,0.495,1.9,1.9,null
00:00:05:310,4.750,0.495,1.9,1.9,null
00:00:05:320,4.750,0.495,1.9,1.9,null
00:00:05:330,4.750,0.495,1.9,1.9,null
