??(h:m:s:ms),??(V),??(A),D+(V),D-(V),????
00:00:01:600,4.752,0.492,1.9,1.9,null
00:00:01:610,4.752,0.492,1.9,1.9,null
00:00:01:620,4.752,0.492,1.9,1.9,null
00:00:01:630,4.752,0.492,1.9,1.9,null
00:00:01:640,4.752,0.492,1.9,1.9,null
00:00:01:650,4.752,0.492,1.9,1.9,null
00:00:01:660,4.752,0.492,1.9,1.9,null
00:00:01:670,4.752,0.492,1.9,1.9,null
00:00:01:680,4.752,0.492,1.9,1.9,null
00:00:01:690,4.753,0.493,1.9,1.9,null
00:00:01:700,4.753,0.493,1.9,1.9,null
00:00:01:710,4.753,0.493,1.9,1.9,null
00:00:01:720,4.753,0.493,1.9,1.9,null
00:00:01:730,4.753,0.493,1.9,1.9,null
00:00:01:740,4.753,0.493,1.9,1.9,null
00:00:01:750,4.753,0.493,1.9,1.9,null
00:00:01:760,4.753,0.493,1.9,1.9,null
00:00:01:770,4.753,0.493,1.9,1.9,null
00:00:01:780,4.753,0.493,1.9,1.9,null
00:00:01:790,4.753,0.493,1.9,1.9,null
00:00:01:800,4.753,0.493,1.9,1.9,null
00:00:01:810,4.753,0.493,1.9,1.9,null
00:00:01:820,4.753,0.493,1.9,1.9,null
00:00:01:830,4.753,0.493,1.9,1.9,null
00:00:01:840,4.753,0.493,1.9,1.9,null
00:00:01:850,4.753,0.493,1.9,1.9,null
00:00:01:860,4.753,0.493,1.9,1.9,null
00:00:01:870,4.753,0.493,1.9,1.9,null
00:00:01:880,4.753,0.493,1.9,1.9,null
00:00:01:890,4.753,0.493,1.9,1.9,null
00:00:01:900,4.753,0.493,1.9,1.9,null
00:00:01:910,4.753,0.493,1.9,1.9,null
00:00:01:920,4.753,0.493,1.9,1.9,null
00:00:01:930,4.753,0.493,1.9,1.9,null
00:00:01:940,4.753,0.493,1.9,1.9,null
00:00:01:950,4.753,0.493,1.9,1.9,null
00:00:01:960,4.753,0.493,1.9,1.9,null
00:00:01:970,4.753,0.493,1.9,1.9,null
00:00:01:980,4.753,0.493,1.9,1.9,null
00:00:01:990,4.753,0.492,1.9,1.9,null
00:00:02:000,4.753,0.492,1.9,1.9,null
00:00:02:010,4.753,0.492,1.9,1.9,null
00:00:02:020,4.753,0.492,1.9,1.9,null
00:00:02:030,4.753,0.492,1.9,1.9,null
00:00:02:040,4.753,0.492,1.9,1.9,null
00:00:02:050,4.753,0.492,1.9,1.9,null
00:00:02:060,4.753,0.492,1.9,1.9,null
00:00:02:070,4.753,0.492,1.9,1.9,null
00:00:02:080,4.753,0.492,1.9,1.9,null
00:00:02:090,4.753,0.492,1.9,1.9,null
00:00:02:100,4.753,0.492,1.9,1.9,null
00:00:02:110,4.753,0.492,1.9,1.9,null
00:00:02:120,4.753,0.492,1.9,1.9,null
00:00:02:130,4.753,0.492,1.9,1.9,null
00:00:02:140,4.753,0.492,1.9,1.9,null
00:00:02:150,4.753,0.492,1.9,1.9,null
00:00:02:160,4.753,0.492,1.9,1.9,null
00:00:02:170,4.753,0.492,1.9,1.9,null
00:00:02:180,4.753,0.492,1.9,1.9,null
00:00:02:190,4.753,0.492,1.9,1.9,null
00:00:02:200,4.753,0.492,1.9,1.9,null
00:00:02:210,4.753,0.492,1.9,1.9,null
00:00:02:220,4.753,0.492,1.9,1.9,null
00:00:02:230,4.753,0.492,1.9,1.9,null
00:00:02:240,4.753,0.492,1.9,1.9,null
00:00:02:250,4.753,0.492,1.9,1.9,null
00:00:02:260,4.753,0.492,1.9,1.9,null
00:00:02:270,4.753,0.492,1.9,1.9,null
00:00:02:280,4.753,0.492,1.9,1.9,null
00:00:02:290,4.753,0.492,1.9,1.9,null
00:00:02:300,4.753,0.492,1.9,1.9,null
00:00:02:310,4.753,0.492,1.9,1.9,null
00:00:02:320,4.753,0.492,1.9,1.9,null
00:00:02:330,4.753,0.492,1.9,1.9,null
00:00:02:340,4.753,0.492,1.9,1.9,null
00:00:02:350,4.753,0.492,1.9,1.9,null
00:00:02:360,4.753,0.492,1.9,1.9,null
00:00:02:370,4.753,0.492,1.9,1.9,null
00:00:02:380,4.753,0.492,1.9,1.9,null
00:00:02:390,4.753,0.492,1.9,1.9,null
00:00:02:400,4.753,0.492,1.9,1.9,null
00:00:02:410,4.753,0.492,1.9,1.9,null
00:00:02:420,4.753,0.492,1.9,1.9,null
00:00:02:430,4.753,0.492,1.9,1.9,null
00:00:02:440,4.753,0.492,1.9,1.9,null
00:00:02:450,4.753,0.492,1.9,1.9,null
00:00:02:460,4.753,0.492,1.9,1.9,null
00:00:02:470,4.753,0.492,1.9,1.9,null
00:00:02:480,4.753,0.492,1.9,1.9,null
00:00:02:490,4.753,0.492,1.9,1.9,null
00:00:02:500,4.753,0.492,1.9,1.9,null
00:00:02:510,4.753,0.492,1.9,1.9,null
00:00:02:520,4.753,0.492,1.9,1.9,null
00:00:02:530,4.753,0.492,1.9,1.9,null
00:00:02:540,4.753,0.492,1.9,1.9,null
00:00:02:550,4.753,0.492,1.9,1.9,null
00:00:02:560,4.753,0.492,1.9,1.9,null
00:00:02:570,4.753,0.492,1.9,1.9,null
00:00:02:580,4.753,0.492,1.9,1.9,null
00:00:02:590,4.753,0.490,1.9,1.9,null
00:00:02:600,4.753,0.490,1.9,1.9,null
00:00:02:610,4.753,0.490,1.9,1.9,null
00:00:02:620,4.753,0.490,1.9,1.9,null
00:00:02:630,4.753,0.490,1.9,1.9,null
00:00:02:640,4.753,0.490,1.9,1.9,null
00:00:02:650,4.753,0.490,1.9,1.9,null
00:00:02:660,4.753,0.490,1.9,1.9,null
00:00:02:670,4.753,0.490,1.9,1.9,null
00:00:02:680,4.753,0.490,1.9,1.9,null
00:00:02:690,4.753,0.490,1.9,1.9,null
00:00:02:700,4.753,0.490,1.9,1.9,null
00:00:02:710,4.753,0.490,1.9,1.9,null
00:00:02:720,4.753,0.490,1.9,1.9,null
00:00:02:730,4.753,0.490,1.9,1.9,null
00:00:02:740,4.753,0.490,1.9,1.9,null
00:00:02:750,4.753,0.490,1.9,1.9,null
00:00:02:760,4.753,0.490,1.9,1.9,null
00:00:02:770,4.753,0.490,1.9,1.9,null
00:00:02:780,4.753,0.490,1.9,1.9,null
00:00:02:790,4.753,0.490,1.9,1.9,null
00:00:02:800,4.753,0.490,1.9,1.9,null
00:00:02:810,4.753,0.490,1.9,1.9,null
00:00:02:820,4.753,0.490,1.9,1.9,null
00:00:02:830,4.753,0.490,1.9,1.9,null
00:00:02:840,4.753,0.490,1.9,1.9,null
00:00:02:850,4.753,0.490,1.9,1.9,null
00:00:02:860,4.753,0.490,1.9,1.9,null
00:00:02:870,4.753,0.490,1.9,1.9,null
00:00:02:880,4.753,0.490,1.9,1.9,null
00:00:02:890,4.753,0.490,1.9,1.9,null
00:00:02:900,4.747,0.504,1.9,1.9,null
00:00:02:910,4.747,0.504,1.9,1.9,null
00:00:02:920,4.747,0.504,1.9,1.9,null
00:00:02:930,4.747,0.504,1.9,1.9,null
00:00:02:940,4.747,0.504,1.9,1.9,null
00:00:02:950,4.747,0.504,1.9,1.9,null
00:00:02:960,4.747,0.504,1.9,1.9,null
00:00:02:970,4.747,0.504,1.9,1.9,null
00:00:02:980,4.747,0.504,1.9,1.9,null
00:00:02:990,4.747,0.504,1.9,1.9,null
00:00:03:000,4.747,0.504,1.9,1.9,null
00:00:03:010,4.747,0.504,1.9,1.9,null
00:00:03:020,4.747,0.504,1.9,1.9,null
00:00:03:030,4.747,0.504,1.9,1.9,null
00:00:03:040,4.747,0.504,1.9,1.9,null
00:00:03:050,4.747,0.504,1.9,1.9,null
00:00:03:060,4.747,0.504,1.9,1.9,null
00:00:03:070,4.747,0.504,1.9,1.9,null
00:00:03:080,4.747,0.504,1.9,1.9,null
00:00:03:090,4.747,0.504,1.9,1.9,null
00:00:03:100,4.747,0.504,1.9,1.9,null
00:00:03:110,4.747,0.504,1.9,1.9,null
00:00:03:120,4.747,0.504,1.9,1.9,null
00:00:03:130,4.747,0.504,1.9,1.9,null
00:00:03:140,4.747,0.504,1.9,1.9,null
00:00:03:150,4.747,0.504,1.9,1.9,null
00:00:03:160,4.747,0.504,1.9,1.9,null
00:00:03:170,4.747,0.504,1.9,1.9,null
00:00:03:180,4.747,0.504,1.9,1.9,null
00:00:03:190,4.747,0.504,1.9,1.9,null
00:00:03:200,4.747,0.503,1.9,1.9,null
00:00:03:210,4.747,0.503,1.9,1.9,null
00:00:03:220,4.747,0.503,1.9,1.9,null
00:00:03:230,4.747,0.503,1.9,1.9,null
00:00:03:240,4.747,0.503,1.9,1.9,null
00:00:03:250,4.747,0.503,1.9,1.9,null
00:00:03:260,4.747,0.503,1.9,1.9,null
00:00:03:270,4.747,0.503,1.9,1.9,null
00:00:03:280,4.747,0.503,1.9,1.9,null
00:00:03:290,4.747,0.503,1.9,1.9,null
00:00:03:300,4.747,0.503,1.9,1.9,null
00:00:03:310,4.747,0.503,1.9,1.9,null
00:00:03:320,4.747,0.503,1.9,1.9,null
00:00:03:330,4.747,0.503,1.9,1.9,null
00:00:03:340,4.747,0.503,1.9,1.9,null
00:00:03:350,4.747,0.503,1.9,1.9,null
00:00:03:360,4.747,0.503,1.9,1.9,null
00:00:03:370,4.747,0.503,1.9,1.9,null
00:00:03:380,4.747,0.503,1.9,1.9,null
00:00:03:390,4.747,0.503,1.9,1.9,null
00:00:03:400,4.747,0.503,1.9,1.9,null
00:00:03:410,4.747,0.503,1.9,1.9,null
00:00:03:420,4.747,0.503,1.9,1.9,null
00:00:03:430,4.747,0.503,1.9,1.9,null
00:00:03:440,4.747,0.503,1.9,1.9,null
00:00:03:450,4.747,0.503,1.9,1.9,null
00:00:03:460,4.747,0.503,1.9,1.9,null
00:00:03:470,4.747,0.503,1.9,1.9,null
00:00:03:480,4.747,0.503,1.9,1.9,null
00:00:03:490,4.747,0.503,1.9,1.9,null
00:00:03:500,4.747,0.503,1.9,1.9,null
00:00:03:510,4.747,0.503,1.9,1.9,null
00:00:03:520,4.747,0.503,1.9,1.9,null
00:00:03:530,4.747,0.503,1.9,1.9,null
00:00:03:540,4.747,0.503,1.9,1.9,null
00:00:03:550,4.747,0.503,1.9,1.9,null
00:00:03:560,4.747,0.503,1.9,1.9,null
00:00:03:570,4.747,0.503,1.9,1.9,null
00:00:03:580,4.747,0.503,1.9,1.9,null
00:00:03:590,4.747,0.503,1.9,1.9,null
00:00:03:600,4.747,0.503,1.9,1.9,null
00:00:03:610,4.747,0.503,1.9,1.9,null
00:00:03:620,4.747,0.503,1.9,1.9,null
00:00:03:630,4.747,0.503,1.9,1.9,null
00:00:03:640,4.747,0.503,1.9,1.9,null
